date,time,team_out,player_traded,team_in
"Sat, Dec 24",2:25 PM,JLEE,Dennis Schroder,AUST
"Sat, Dec 24",2:25 PM,AUST,Jonas Valanciunas,JLEE
"Sat, Dec 24",2:25 PM,AUST,Nick Young,JLEE
"Fri, Dec 23",2:25 PM,BOYD,Harrison Barnes,AUST
"Fri, Dec 23",2:25 PM,AUST,Reggie Jackson,BOYD
"Mon, Dec 19",11:25 AM,WEIS,Nicolas Batum,JCOH
"Mon, Dec 19",11:25 AM,WEIS,Al Horford,JCOH
"Mon, Dec 19",11:25 AM,WEIS,Kemba Walker,JCOH
"Mon, Dec 19",11:25 AM,JCOH,Carmelo Anthony,WEIS
"Mon, Dec 19",11:25 AM,JCOH,LeBron James,WEIS
"Fri, Dec 16",5:25 PM,JCOH,Eric Bledsoe,BCOH
"Fri, Dec 16",5:25 PM,JCOH,Marc Gasol,BCOH
"Fri, Dec 16",5:25 PM,JCOH,Draymond Green,BCOH
"Fri, Dec 16",5:25 PM,BCOH,John Wall,JCOH
"Fri, Dec 16",5:25 PM,BCOH,KarlAnthony Towns,JCOH
"Fri, Dec 9",12:25 PM,LEED,JJ Redick,JCOH
"Fri, Dec 9",12:25 PM,JCOH,Ricky Rubio,LEED
"Thu, Dec 8",8:25 PM,SANF,KarlAnthony Towns,BCOH
"Thu, Dec 8",8:25 PM,SANF,Victor Oladipo,BCOH
"Thu, Dec 8",8:25 PM,SANF,Thaddeus Young,BCOH
"Thu, Dec 8",8:25 PM,BCOH,Kyle Lowry,SANF
"Thu, Dec 8",8:25 PM,BCOH,Bradley Beal,SANF
"Thu, Dec 8",8:25 PM,BCOH,Rudy Gobert,SANF
"Tue, Dec 6",9:25 PM,AUST,Victor Oladipo,SANF
"Tue, Dec 6",9:25 PM,SANF,Rajon Rondo,AUST
"Mon, Dec 5",8:25 PM,AUST,Nikola Vucevic,JCOH
"Mon, Dec 5",8:25 PM,JCOH,Devin Booker,AUST
"Wed, Nov 30",5:25 PM,BCOH,Joel Embiid,JLEE
"Wed, Nov 30",5:25 PM,BCOH,Anthony Davis,JLEE
"Wed, Nov 30",5:25 PM,JLEE,Hassan Whiteside,BCOH
"Wed, Nov 30",5:25 PM,JLEE,Kyle Lowry,BCOH
"Tue, Nov 29",6:25 PM,BCOH,Harrison Barnes,BOYD
"Tue, Nov 29",6:25 PM,BCOH,Stephen Curry,BOYD
"Tue, Nov 29",6:25 PM,BOYD,Mike Conley,BCOH
"Tue, Nov 29",6:25 PM,BOYD,John Wall,BCOH
"Thu, Nov 17",1:25 PM,JCOH,KarlAnthony Towns,SANF
"Thu, Nov 17",1:25 PM,SANF,Eric Bledsoe,JCOH
"Thu, Nov 17",1:25 PM,SANF,Devin Booker,JCOH
"Sun, Nov 6",11:25 PM,AUST,Kristaps Porzingis,SANF
"Sun, Nov 6",11:25 PM,SANF,Reggie Jackson,AUST
"Fri, Nov 4",5:25 PM,JLEE,Eric Bledsoe,SANF
"Fri, Nov 4",5:25 PM,JLEE,Kevin Love,SANF
"Fri, Nov 4",5:25 PM,SANF,Klay Thompson,JLEE
"Fri, Nov 4",5:25 PM,SANF,Hassan Whiteside,JLEE
"Thu, Nov 3",11:25 AM,BOYD,LeBron James,JCOH
"Thu, Nov 3",11:25 AM,JCOH,DeMar DeRozan,BOYD
"Thu, Nov 3",11:25 AM,JCOH,Jimmy Butler,BOYD
"Mon, Oct 31",1:25 PM,JCOH,Anthony Davis,BCOH
"Mon, Oct 31",1:25 PM,JCOH,Harrison Barnes,BCOH
"Mon, Oct 31",1:25 PM,JCOH,Jordan Clarkson,BCOH
"Mon, Oct 31",1:25 PM,BCOH,Draymond Green,JCOH
"Mon, Oct 31",1:25 PM,BCOH,Jimmy Butler,JCOH
"Mon, Oct 31",1:25 PM,BCOH,Jeremy Lin,JCOH
